Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
94,8.8,0.483,0.545,0.164,2.4,7.1,4.8,9.7,2.4,1.2,13.2,16,-2,-0.8,-2.8,0,0.2,0
94,8.3,0.476,0.568,0.114,2.9,6.4,4.7,9.7,2,1,13.2,15.1,-2.1,-1.2,-3.3,-0.1,0.1,0
94,11.6,0.509,0.455,0.364,0,10.8,5.2,9.9,4.8,2.5,13.6,20.6,-1.8,1.6,-0.2,0,0.1,0
95,16.9,0.528,0.203,0.265,4,10.5,7.1,23.8,1.8,0.7,12.6,23,1.4,-1.7,-0.3,0.6,2.4,0
96,9.2,0.6,0.55,0,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,-2.9,-1.3,-4.2,0,0.1,0
97,10.9,0.483,0.315,0.145,0.9,9.3,5.1,22.2,1.6,0.7,14.3,17.5,-1.5,-1.5,-3,-0.5,1.4,0
97,9.9,0.452,0.333,0.15,1.3,9.8,5.7,22.9,1.9,0.6,15.1,15.7,-2.1,-0.9,-2.9,-0.3,0.6,0
97,12.6,0.52,0.294,0.139,0.2,8.3,4.2,21.2,1.2,0.8,13.3,20.6,-0.5,-2.6,-3.1,-0.2,0.7,0
98,17.5,0.575,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,2.8,-1.3,1.5,1.4,3.8,0
99,11.2,0.485,0.237,0.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,-1.1,1.2,0.1,0.6,2.2,0
100,18.6,0.558,0.314,0.282,1.5,9.2,5.4,28,2.1,0.5,13.6,23.7,3.2,-0.5,2.7,2.6,6.8,0
101,11.4,0.432,0,0.955,13.3,19.8,16.6,1.8,3.7,2.8,8.8,18,-4.4,0.4,-4,0,0.2,0
102,7.4,0.468,0.539,0.145,3.1,11.7,7.4,9.9,0.7,1,15.2,21.3,-2.8,-1.5,-4.3,-0.5,-0.1,0
103,14.5,0.52,0.29,0.261,2.2,10.8,6.5,17,1.3,0,13.5,25.6,-1.2,-3.2,-4.4,-0.1,0.2,0
104,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,1.4,3.3,4.7,3.4,6,1
105,14.7,0.554,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,0.6,-0.5,0.2,1.1,4,0
106,8.7,0.525,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,-1.3,1,-0.3,0.3,1.3,0
107,16.6,0.532,0.434,0.3,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,1.7,-2.7,-1,0.4,3.6,0
108,13.9,0.517,0.382,0.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,-0.1,0.6,0.6,1.1,3.9,0
108,12.7,0.55,0.5,0.145,5,7.1,6,6.5,2.9,1.5,11,15.3,0.6,0.5,1.1,0.2,0.5,0
108,14.1,0.512,0.362,0.277,4.7,16.4,10.5,9,2.1,1.1,6.9,17.9,-0.2,0.7,0.5,0.9,3.3,0
109,8.9,0.473,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,-2.6,1,-1.6,0.2,1.6,0
110,7.3,0.452,0.394,0.394,1.3,9.9,5.7,16.4,1.7,0,15.3,23.2,-4,-2.7,-6.7,-0.1,0,0
111,-11.4,0,0.333,0,0,27.7,13.7,15.6,0,0,0,16.5,-14.3,-1.6,-15.9,0,0,0
112,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,9.6,0.3,9.9,7.9,15.7,1
113,11.8,0.461,0,0.154,10.9,25.1,17.8,8.6,1.4,6.3,21.9,15,-5.2,3,-2.2,0,0.3,0
114,9.6,0.515,0.715,0.079,2.2,7.2,4.7,9.2,0.8,0.2,10.5,21.3,-0.3,-4.6,-4.9,-0.3,0.2,0
114,4.5,0.472,0.915,0.085,0,6.1,3.1,5.9,0,0,9.3,21.6,-2.4,-5.8,-8.2,-0.2,0,0
114,7.4,0.443,0.661,0.034,4.3,10,7.1,13.4,1,0,11.8,19.4,-1.4,-4.5,-5.8,-0.1,-0.1,0
114,16.1,0.62,0.61,0.119,1.6,5,3.3,7,1.1,0.6,10.1,23.3,2.5,-3.7,-1.2,0,0.3,0
