Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
165,10.5,0.492,0.622,0.082,2.7,13.6,8.4,9.3,2,2.4,11.4,14.6,-0.2,3,2.7,2.5,4.2
166,19.3,0.587,0.315,0.402,5.5,23,14.7,29,2,3,21.2,18.8,2,3.9,5.8,5.5,11.1
167,12.4,0.468,0.385,0.154,8.4,8.2,8.3,11,1.3,0,0,15.2,0.1,-2.2,-2,0,0.1
167,0.9,0,1,0,0,16.1,7.9,18.3,0,0,0,6.2,-7.2,-1.9,-9.1,0,0
167,14.7,0.505,0.333,0.167,10.1,6.7,8.3,9.6,1.5,0,0,17,1.6,-2.2,-0.6,0,0.1
168,10.1,0.491,0.443,0.157,1.9,9.7,5.9,5.6,1.3,0.9,6.8,19.8,-1.2,-1.8,-3,-0.4,1.7
169,14.6,0.52,0.091,0.277,10.5,19.3,14.7,7.7,1.6,2.1,13,19.8,-1.6,-0.3,-1.9,0,2.6
170,13,0.51,0.258,0.267,3.6,13.3,8.3,10,1.3,1.5,9.2,20.2,-1,-0.7,-1.7,0.2,3.1
170,13.4,0.517,0.244,0.278,3.9,14.4,8.9,10.5,1.3,1.1,9.9,20.2,-0.6,-1.1,-1.7,0.1,2.2
170,12,0.496,0.288,0.243,3,10.9,7,8.9,1.3,2.3,7.5,20.4,-1.8,0.1,-1.7,0.1,0.9
171,22.1,0.544,0.03,0.322,4.8,22.3,13.7,27.2,1.2,1.1,10.8,29.8,1.7,1.6,3.3,1.6,3.8
172,19.1,0.694,0.182,1,0,12.3,6.1,40.3,2.4,0,27.5,15.6,-0.8,-2.4,-3.2,0,0.3
173,6.9,0.47,0.591,0.157,2.1,12.8,7.3,4.4,1.2,0.7,8.6,16.4,-2.7,-1.5,-4.2,-0.7,0.6
173,7.4,0.486,0.623,0.152,2.1,13,7.5,4.7,1.3,0.6,7.5,15.3,-2.2,-1,-3.2,-0.3,0.9
